NAME,OTHERNAME,PLANETDISCMETH,DATE,MSINI,I,R,A,PER,ECC,STAR,V,VURL,VREF,DIST,MSTAR,RSTAR,TEFF,LOGG,FE
,,,,mjupiter,deg,rjupiter,au,day,,,,,,pc,msun,rsun,k,,
Kepler-449 c,,Transit,2015,,,,0.201945,33.6727,0,Kepler-449,11.45,,,,0.969,1.467,,,
HD 10180 g,2MASS J01375356-6030414,RV,2011,0.0673813,,,1.42271,602,0,HD 10180,7.33,,,39.0168,1.06,1.10851,5911,4.39,0.08
Kepler-1092 b,,Transit,2016,,,0.185,0.294279,58.6017925,0,Kepler-1092,,,,914,0.99,1,5862,4.44,-0.09
Kepler-1214 b,,Transit,2016,,,0.211,0.131197,18.82634264,0,Kepler-1214,,,,757,0.85,0.8,5130,4.57,0.05
Kepler-275 c,KOI-1198,Transit,2014,,,0.301543,0.124722,16.088134,,Kepler-275,,,,,,1.383,6165,4.229,
Kepler-482 b,,Transit,2016,,,0.211,0.261363,56.35418576,0,Kepler-482,,,,290,0.75,0.72,4871,4.6,-0.13
Kepler-1495 b,,Transit,2016,,,0.262,0.382908,85.273256,0,Kepler-1495,,,,1307,1.03,1.04,5831,4.42,0.06
Kepler-201 c,KOI-655,Transit,2014,,,0.25426,0.557119,151.884058,,Kepler-201,,,,,,1.229,6065,4.294,
K2-30 b,EPIC 210957318,Transit,2016,0.577897,86.92,1.06337,0.0484016,4.098503,0,K2-30,13.53,,,278,0.9,0.844,5425,4.53,-0.15
WASP-94 B b,2MASS 20550915-3408078,Transit,2014,0.619839,,,0.0334746,2.00839,0,WASP-94 B,10.5,,,,1.24,1.35,6040,4.26,0.23
Kepler-208 c,KOI-671,Transit,2014,,,0.124008,0.0747634,7.466623,,Kepler-208,,,,,,1.314,6092,4.265,
Kepler-722 c,,Transit,2016,,,0.252,0.440295,105.144749,0,Kepler-722,,,,1375,1.03,1.05,5863,4.41,0.02
Kepler-1174 b,,Transit,2016,,,0.142,0.0718111,6.89225223,0,Kepler-1174,,,,829,1.04,1.04,5936,4.42,-0.04
Kepler-274 b,KOI-1196,Transit,2014,,,0.13739,0.100488,11.634788,,Kepler-274,,,,,,1.007,6023,4.44,
Kepler-581 b,,Transit,2016,,,0.235,0.23121,40.6069821,0,Kepler-581,,,,833,1,1,5772,4.44,0.03
Kepler-693 b,,Transit,2016,,,0.908,0.110433,15.37563332,0,Kepler-693,,,,1002,0.76,0.72,4881,4.61,-0.1
Kepler-1102 b,,Transit,2016,,,0.237,0.266647,51.3285623,0,Kepler-1102,,,,986,0.96,0.94,5724,4.48,-0.08
GJ 9827 c,,Transit,2017,0.00760583,88.05,0.115902,0.0394192,3.648083,,GJ 9827,10.1,,,30.3214,0.614,0.613,4269,4.9,-0.5
Kepler-769 c,,Transit,2016,,,0.16,0.131614,15.9870174,0,Kepler-769,,,,1362,1.19,1.28,6186,4.3,0.06
Kepler-652 b,,Transit,2016,,,0.222,0.0502867,4.18200253,0,Kepler-652,,,,423,0.97,0.88,5490,4.54,0.17
Kepler-420 b,,Transit,2010,,89.66,0.94,0.381935,86.647661,0.772,Kepler-420,14.86,,,900,0.99,1.13,5520,4.32,0.27
HD 66428 b,,RV,2006,2.74962,,,3.14259,1973,0.465,HD 66428,8.25,,,54.9149,1.061,0.979625,5752.03,4.49038,0.310226
HD 52265 b,,RV,2000,1.07139,,,0.499878,119.29,0.325,HD 52265,6.29,,,28.9603,1.17,1.34703,6076.31,4.26339,0.193307
HATS-14 b,,Transit,2015,1.06798,88.83,1.039,0.0381546,2.766741,,HATS-14,13.79,,,513,0.967,0.933,5346,4.484,0.33
Kepler-75 b,KIC 757450,Transit,2011,9.98356,89.1,1.03,0.0807413,8.884924,0.569,Kepler-75,,,,1140,0.88,0.88,5330,4.5,-0.07
Kepler-326 c,KOI-1835,Transit,2014,,,0.1249,0.0539767,4.580358,,Kepler-326,,,,,,0.801,5105,4.556,
Kepler-554 b,,Transit,2016,,,0.383,0.0293274,1.90220856,0,Kepler-554,,,,642,0.93,0.92,5447,4.49,0.14
Kepler-1649 b,,Transit,2017,,89.57,0.0980893,0.0498583,8.68909,0,Kepler-1649,,,,92.4325,0.219,0.252,3240,4.98,-0.15
HAT-P-43 b,,Transit,2013,0.665286,88.7,1.30934,0.044362,3.332687,0,HAT-P-43,13.36,,,542,1.048,1.103,5645,4.37,0.23
Kepler-1294 b,,Transit,2016,,,0.285,0.463098,115.6862258,0,Kepler-1294,,,,1120,0.99,0.97,5776,4.46,-0.03
HD 147873 c,,RV,2017,2.24603,,,1.35778,491.54,0.23,HD 147873,7.98,,,104.932,1.38,2.29,5972,3.86,-0.03
Kepler-249 c,KOI-899,Transit,2014,,,0.134713,0.0723886,7.113702,,Kepler-249,,,,,,0.482,3568,4.777,
Kepler-1282 b,,Transit,2016,,,0.138,0.0315297,2.13194651,0,Kepler-1282,,,,1126,0.92,0.89,5504,4.51,0.01
Kepler-740 b,,Transit,2016,,,0.408,0.0444161,3.58410122,0,Kepler-740,,,,1262,0.91,0.87,5438,4.52,0.03
Kepler-79 c,KOI-152,Timing,2013,,,0.339,0.183622,27.402,0.03,Kepler-79,13.99,,,,1.1,1.1,6187,4.42,-0.263
HD 16417 b,,RV,2009,0.0669595,,,0.135435,17.24,0.2,HD 16417,5.78,,,25.7798,1.115,1.45645,5817,4.17,0.07
Kepler-251 c,KOI-907,Transit,2014,,,0.247123,0.126914,16.514043,,Kepler-251,,,,,,0.89,5526,4.486,
Kepler-15 b,KOI-128,Transit,2011,0.66177,87.44,0.96,0.0571382,4.942782,0.133933,Kepler-15,,,,,1.018,0.992,5515,4.46,0.36
HD 205739 b,,RV,2008,1.48708,,,0.894939,279.8,0.27,HD 205739,8.56,,,107.759,1.22,1.46292,6176,4.21,0.19
Kepler-851 b,,Transit,2016,,,0.15,0.078449,8.50699658,0,Kepler-851,,,,869,0.89,0.85,5455,4.53,-0.07
Kepler-1342 b,,Transit,2016,,,0.148,0.032467,2.21571036,0,Kepler-1342,,,,941,0.93,0.9,5527,4.51,0.03
Kepler-302 b,KOI-1486,Transit,2014,,,0.362209,0.189725,30.184104,,Kepler-302,,,,,,1.22,5740,4.286,
Kepler-781 b,,Transit,2016,,,0.258,0.101967,13.2140732,0,Kepler-781,,,,1036,0.81,0.78,5162,4.58,-0.1
Kepler-317 b,KOI-1760,Transit,2014,,,0.186457,0.0611582,5.524242,,Kepler-317,,,,,,0.941,5497,4.493,
Kepler-152 c,KOI-416,Transit,2014,,,0.213222,0.387942,88.255055,,Kepler-152,,,,,,0.724,5088,4.605,
Kepler-343 b,KOI-1960,Transit,2014,,,0.215006,0.0844802,8.96855,,Kepler-343,,,,,,1.433,5807,4.184,
Kepler-1161 b,,Transit,2016,,,0.19,0.0797661,10.71252541,0,Kepler-1161,,,,428,0.59,0.57,4253,4.7,-0.35
CoRoT-16 b,2MASS J18340592-0600093,Transit,2012,0.535943,85.01,1.17,0.0617874,5.35227,0.33,CoRoT-16,15.63,,,840,1.098,1.19,5650,4.36,0.19
HD 216770 b,,RV,2004,0.646927,,,0.455837,118.45,0.37,HD 216770,8.11,,,35.5745,0.9,1.03957,5423,4.4,0.26
HD 136418 b,,RV,2010,1.9935,,,1.29111,464.3,0.255,HD 136418,7.88,,,98.2318,1.33,3.83357,4972,3.4,-0.07
Kepler-907 b,,Transit,2016,,,0.107,0.126784,15.86621821,0,Kepler-907,,,,352,1.08,1.38,6106,4.19,-0.15
Kepler-1402 b,,Transit,2016,,,0.068,0.0303322,2.03387914,0,Kepler-1402,,,,681,0.9,0.87,5416,4.53,0.03
Kepler-59 b,KOI-1529,Transit,2011,,,0.100246,0.103167,11.8681707,,Kepler-59,,,,,1.04,0.94,6074,4.51,
Kepler-98 b,KOI-299,Transit,2014,0.010276,,0.177536,0.0260305,1.54168,0,Kepler-98,,,,,0.99,1.11,5539,4.341,0.18
Kepler-192 b,KOI-584,Transit,2014,,,0.244446,0.090395,9.926746,,Kepler-192,,,,,,1.007,5479,4.428,
beta Pic b,,Imaging,2009,,90.69,,9.04,7482,0.06,beta Pic,3.861,,,19.3,1.75,,,,
Kepler-1259 b,,Transit,2016,,,0.128,0.013815,0.66308526,0,Kepler-1259,,,,704,0.8,0.77,5053,4.58,-0.07
Kepler-202 c,KOI-657,Transit,2014,,,0.165046,0.125725,16.282493,,Kepler-202,,,,,,0.667,4668,4.65,
gamma Lib c,,RV,2018,4.58986,,,2.17458,964.6,0.057,gamma Lib,3.91,,,50.025,1.47,11.1,4822,2.56,-0.3
Kepler-1142 b,,Transit,2016,,,0.131,0.134547,18.3027248,0,Kepler-1142,,,,697,0.97,0.96,5685,4.46,0.02
GJ 163 d,2MASS J04091567-5322254,RV,2013,0.0926098,,,1.03037,603.95116,0.373,GJ 163,11.811,,,14.9948,0.4,,,,
Kepler-339 c,KOI-1931,Transit,2014,,,0.102596,0.0715337,6.988055,,Kepler-339,,,,,,0.802,5631,4.586,
HD 215152 e,,RV,2018,0.00905232,,,0.15417,25.1967,0,HD 215152,6.45,,,21.6263,0.77,0.73,4935,4.4,-0.1
HD 188015 b,,RV,2005,1.46957,,,1.19018,461.2,0.137,HD 188015,8.24,,,57.0125,1.056,1.03281,5745.68,4.44488,0.288779
WASP-59 b,,Transit,2013,0.859026,89.27,0.775,0.0696866,7.919585,0.1,WASP-59,13,,,125,0.719,0.613,4650,4.72,-0.15
WASP-54 b,2MASS J13414903-0007410,Transit,2013,0.630293,84.97,1.653,0.049881,3.6936411,0.067,WASP-54,10.42,,,200,1.213,1.828,6100,3.997,-0.27
Kepler-1542 b,,Transit,2016,,,0.068,0.0479144,3.95116882,0,Kepler-1542,,,,336,0.94,0.99,5564,4.41,0.06
HAT-P-8 b,GSC 02757-01152,Transit,2009,1.29241,87.8,1.5,0.0449613,3.076337,0,HAT-P-8,10.36,,,230.001,1.28,1.58,6200,4.15,0.01
Kepler-446 b,,Transit,2010,,87.42,0.137,0.0159282,1.565409,0,Kepler-446,,,,120,0.22,0.24,3359,,-0.3
Kepler-1533 b,,Transit,2016,,,0.309,0.977788,308.5471,0,Kepler-1533,,,,852,1.31,1.51,6431,4.2,0.03
WASP-15 b,USNO-B1.0 0578-0402627,Transit,2009,0.541448,85.96,1.379,0.0499436,3.7521,0,WASP-15,11,,,,1.18,1.477,6300,4.35,-0.17
Kepler-425 b,KOI-188,Transit,2010,0.248704,87.02,0.978,0.0464979,3.79701816,0,Kepler-425,14.97,,,650,0.93,0.86,5170,4.532,0.24
HD 10180 d,2MASS J01375356-6030414,RV,2011,0.0376549,,,0.128581,16.3567,0.143,HD 10180,7.33,,,39.0168,1.06,1.10851,5911,4.39,0.08
Kepler-767 b,,Transit,2016,,,0.592,0.572614,161.5280101,0,Kepler-767,,,,1185,0.96,0.94,5694,4.48,-0.05
HD 9446 c,,RV,2010,1.81548,,,0.65375,192.9,0.06,HD 9446,8.5125,,,52.356,1,0.919448,5793,4.53,0.09
Kepler-445 b,,Transit,2010,,89.74,0.144,0.022904,2.984151,0,Kepler-445,,,,90,0.18,0.21,3157,,0.27
XO-4 b,2MASS J07213317+5816051,Transit,2008,1.60219,88.8,1.33,0.05524,4.1250828,0,XO-4,10.78,,,293,1.32,,,,
WASP-48 b,2MASS J19243895+5528233,Transit,2011,0.969551,80.09,1.67,0.034488,2.143634,0,WASP-48,11.66,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,,1.19,1.75,5920,4.03,-0.12
Kepler-566 b,,Transit,2016,,,0.192,0.128317,18.42794624,0,Kepler-566,,,,628,0.83,0.79,5132,4.57,-0.01
HD 37124 b,,RV,2000,0.674371,,,0.533637,154.378,0.054,HD 37124,7.68,,,33.67,0.85,0.772275,5500.24,4.59917,-0.441617
Kepler-89 b,KOI-94 b,Transit,2013,0.0287326,89.3,0.1558,0.0511881,3.743208,0.25,Kepler-89,,,,,1.277,1.52,6182,4.181,0.0228
WASP-32 b,2MASS J00155080+0112016,Transit,2010,3.441,85.1,1.1,0.0390315,2.718661,0,WASP-32,11.3,,,,1.07,1.09,6140,4.4,-0.13
Kepler-265 b,KOI-1052,Transit,2014,,,0.165938,0.0705628,6.846262,,Kepler-265,,,,,,1.103,5835,4.326,
OGLE-TR-211 b,2MASS J10401438-6227201,Transit,2008,0.753425,84.2182,1.36,0.0512842,3.67724,0,OGLE-TR-211,,,,,1.33,1.64,6325,4.22,0.11
gamma Cep b,,RV,1988,1.51728,,,1.9793,905.574,0.12,gamma Cep,3.21,,,14.1024,1.26,5.01,4764,3.1,0.13
Kepler-325 b,KOI-1832,Transit,2014,,,0.259613,0.0536941,4.544439,,Kepler-325,,,,,,1.003,5752,4.411,
Kepler-11 g,KOI-157,Transit,2011,,89.87,0.296741,0.465624,118.3807,0,Kepler-11,,,,,0.961,1.1,5663,4.366,0
Kepler-409 b,,Transit,2014,,,0.108253,0.320082,68.9584,,Kepler-409,9.64,,,68.3079,0.92,0.89,5460,4.499,0.08
Kepler-256 b,KOI-939,Transit,2014,,,0.14185,0.0270005,1.620493,,Kepler-256,,,,,,1.301,5551,4.223,
Kepler-1182 b,,Transit,2016,,,0.215,0.0991034,11.17394617,0,Kepler-1182,,,,1258,1.04,1.05,5924,4.41,0.01
Kepler-617 b,,Transit,2016,,,0.118,0.0221208,1.68269615,0,Kepler-617,,,,150,0.51,0.48,3712,4.77,-0.07
Kepler-1035 b,,Transit,2016,,,0.104,0.0378236,2.71407755,0,Kepler-1035,,,,408,0.98,0.97,5763,4.45,-0.03
HD 1605 c,,RV,2015,3.50295,,,3.52689,2111,0.098,HD 1605,7.52,,,84.6,1.31,3.8,4757,3.4,0.21
GJ 86 b,HD 13445,RV,2000,4.00104,,,0.114217,15.76491,0.0416,GJ 86,6.12,,,10.7828,0.796,0.748264,5150.54,4.59375,-0.267896
Kepler-470 b,,Transit,2016,,,1.288,0.185532,24.66919569,0,Kepler-470,,,,989,1.4,1.66,6613,4.14,0.04
Kepler-1637 b,,Transit,2016,,,0.079,0.0658388,6.10960324,0,Kepler-1637,,,,506,1.02,1.02,5789,4.43,0.07
Kepler-1346 b,,Transit,2016,,,0.141,0.0462418,3.40165668,0,Kepler-1346,,,,1123,1.14,1.21,6133,4.33,0.04
HD 8574 b,,RV,2003,1.80603,,,0.757141,227,0.297,HD 8574,7.12,,,44.5633,1.122,1.42266,6049.74,4.20473,-0.00891622
Kepler-269 c,KOI-1127,Transit,2014,,,0.150772,0.079115,8.127899,,Kepler-269,,,,,,0.959,5847,4.5,
Kepler-250 b,KOI-906,Transit,2014,,,0.100812,0.0505253,4.148141,,Kepler-250,,,,,,0.805,5160,4.565,
HD 82886 b,2MASS J09354518+3446506,RV,2011,1.30477,,,1.58126,705,0.066,HD 82886,7.78,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,125,1.06,3.83685,5112,3.4,-0.31
HD 179949 b,,RV,2001,0.902075,,,0.0439208,3.092514,0.022,HD 179949,6.25,,,27.5482,1.181,1.22645,6168.3,4.34052,0.136947
Kepler-1167 b,,Transit,2016,,,0.153,0.0181392,1.00393374,0,Kepler-1167,,,,811,0.79,0.75,4971,4.6,-0.05
GJ 3293 e,2MASS J04283571-2510088,RV,2015,0.0104938,,,0.0820805,13.25319599,0.215874,GJ 3293,12,,,20.202,0.42,0.404,3466,,0.02
HD 2952 b,2MASS J00331038+5453419,RV,2013,1.62021,,,1.22755,311.6,0.129,HD 2952,5.93,,,115.207,2.54,11.4311,4844,2.67,0
Kepler-1063 b,,Transit,2016,,,0.133,0.117439,14.07971466,0,Kepler-1063,,,,365,1.09,1.14,5945,4.37,0.09
Kepler-169 e,KOI-505,Transit,2014,,,0.196271,0.112418,13.767102,,Kepler-169,,,,,,0.763,4997,4.582,
Kepler-1340 b,,Transit,2016,,,0.138,0.0161473,0.66502692,0,Kepler-1340,,,,1421,1.27,1.42,6331,4.24,0.07
YZ Cet b,,RV,2017,0.00234218,,,0.0155735,1.96876,0,YZ Cet,12.074,,,3.6899,0.13,0.168,3056,,-0.26
HIP 14810 c,,RV,2007,1.27518,,,0.545404,147.76916,0.153155,HIP 14810,8.52,,,53.4474,0.99,1.31998,5485,4.22,0.23
Kepler-358 c,KOI-2080,Transit,2014,,,0.25426,0.373844,83.488369,,Kepler-358,,,,,,0.954,5908,4.504,
HD 28678 b,2MASS J04312544+0434309,RV,2011,1.8997,,,1.31659,387.1,0.168,HD 28678,8.54,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,227,2.03,6.33673,5052,3.07,-0.21
WASP-56 b,2MASS J12132790+2303205,Transit,2013,0.605178,88.5,1.092,0.056145,4.617101,0,WASP-56,11.484,,,255,1.107,1.112,5600,,0.12
Kepler-18 c,KOI-137,Transit,2011,,87.68,0.489785,0.0752115,7.64159,0.000338541,Kepler-18,,,,,0.972,1.108,5383,4.41,0.2
Kepler-215 e,KOI-700,Transit,2014,,,0.156125,0.326561,68.16101,,Kepler-215,,,,,,1.027,5739,4.364,
Kepler-540 b,,Transit,2016,,,0.242,0.610956,172.7049784,0,Kepler-540,,,,350,1.02,1.08,5946,4.38,-0.1
HATS-6 b,2MASS 05523523-1901539,Transit,2015,0.319673,88.21,0.998,0.0362414,3.3252725,0,HATS-6,15.16,,,148.4,0.574,0.57,3724,4.683,0.2
Kepler-230 c,KOI-759,Transit,2014,,,0.181997,0.398184,91.773242,,Kepler-230,,,,,,0.817,5588,4.551,
Kepler-739 b,,Transit,2016,,,0.296,0.103068,12.53248465,0,Kepler-739,,,,1128,0.93,0.9,5601,4.51,-0.08
Kepler-515 b,,Transit,2016,,,0.13,0.139053,19.96371318,0,Kepler-515,,,,255,0.9,0.83,5293,4.55,0.08
Kepler-388 b,KOI-2466,Transit,2014,,,0.0722634,0.0422619,3.173315,,Kepler-388,,,,,,0.586,4498,4.69,
HAT-P-52 b,,Transit,2015,0.817956,87.02,1.03174,0.0369523,2.7535953,0,HAT-P-52,14.068,,,385,0.887,0.893,5131,4.483,0.28
Kepler-107 e,KOI-117,Transit,2014,,,0.307788,0.117702,14.749049,,Kepler-107,,,,,,1.411,5851,4.196,
Kepler-947 b,,Transit,2016,,,0.203,0.169908,26.9644317,0,Kepler-947,,,,1188,0.9,0.87,5508,4.52,-0.07
Kepler-1560 b,,Transit,2016,,,0.079,0.0412688,3.03195744,0,Kepler-1560,,,,529,1.02,1.02,5815,4.43,0.04
HD 143105 b,,RV,2016,1.21302,,,0.0379591,2.1974,0,HD 143105,6.75,,,48.6618,1.51,,6380,4.37,0.15
Kepler-1230 b,,Transit,2016,,,0.242,0.0923527,9.95661537,0,Kepler-1230,,,,1433,1.06,1.08,5961,4.4,0.01
Kepler-923 b,,Transit,2016,,,0.123,0.0736811,6.93366476,0,Kepler-923,,,,966,1.11,1.26,5988,4.28,0.07
CoRoT-8 b,2MASS  J19262124+0125352,Transit,2010,0.215994,88.4,0.57,0.0633825,6.21229,0,CoRoT-8,14.8,,,380.228,0.88,0.77,5080,4.58,0.315
Kepler-723 b,,Transit,2016,,,1.088,0.0486188,4.08227507,0,Kepler-723,,,,965,0.92,0.89,5539,4.51,0
Kepler-844 b,,Transit,2016,,,0.15,0.03114,2.61302086,0,Kepler-844,,,,394,0.59,0.57,4128,4.7,-0.24
HAT-P-42 b,,Transit,2013,1.03967,85.9,1.30973,0.0575315,4.641878,0,HAT-P-42,12.17,,,447,1.178,1.53,5743,4.14,0.27
Kepler-1283 b,,Transit,2016,,,0.17,0.113375,12.9460978,0,Kepler-1283,,,,1452,1.16,1.25,6175,4.31,0.04
Kepler-1430 b,,Transit,2016,,,0.105,0.0326929,2.46050993,0,Kepler-1430,,,,541,0.77,0.72,4796,4.62,-0.03
Kepler-401 b,KOI-2714,Transit,2014,,,0.152556,0.115746,14.383035,,Kepler-401,,,,,,1.333,6117,4.254,
Kepler-760 c,,Transit,2016,,,0.132,0.03437,2.46697439,0,Kepler-760,,,,782,0.89,0.85,5322,4.54,0.08
Kepler-1069 b,,Transit,2016,,,0.143,0.161835,23.8990296,0,Kepler-1069,,,,435,0.99,0.98,5722,4.46,0.04
Kepler-291 c,KOI-1363,Transit,2014,,,0.167722,0.0624544,5.700786,,Kepler-291,,,,,,1.016,6002,4.472,
Kepler-1324 b,,Transit,2016,,,0.135,0.0462676,4.11584468,0,Kepler-1324,,,,522,0.78,0.73,4776,4.61,0.05
CoRoT-20 b,2MASS J06305289+0013369,Transit,2012,4.24157,88.21,0.84,0.0901485,9.24285,0.562,CoRoT-20,15.31,http://adsabs.harvard.edu/abs/2012A%26A...538A.145D,Deleuil 2012,1230,1.14,1.02,5880,4.2,0.14
Kepler-292 e,KOI-1364,Transit,2014,,,0.238201,0.10246,11.97901,,Kepler-292,,,,,,0.826,5299,4.536,
HD 96167 b,,RV,2009,0.68457,,,1.34724,498.9,0.71,HD 96167,8.09,,,86.9565,1.31,1.98284,5770,3.96,0.34
HD 43197 b,2MASS J06133564-2953503,RV,2010,0.596868,,,0.918027,327.8,0.83,HD 43197,8.95,,,56.3063,0.96,1.19673,5508,4.31,0.4
Kepler-1388 c,,Transit,2016,,,0.202,0.0525035,5.53608151,0,Kepler-1388,,,,492,0.63,0.61,4098,4.67,0.02
Kepler-912 b,,Transit,2016,,,0.25,0.0372128,2.53475627,0,Kepler-912,,,,1265,1.07,1.11,5998,4.37,0.02
Kepler-514 b,,Transit,2016,,,0.153,0.0674219,5.65179605,0,Kepler-514,,,,489,1.28,1.44,6106,4.23,0.36
Kepler-998 b,,Transit,2016,,,0.207,0.0645018,5.65377733,0,Kepler-998,,,,996,1.12,1.18,6058,4.34,0.07
Kepler-1129 b,,Transit,2016,,,0.264,0.164368,24.3397804,0,Kepler-1129,,,,1258,1,1,5831,4.44,-0.04
Kepler-1335 b,,Transit,2016,,,0.129,0.0609548,6.26406846,0,Kepler-1335,,,,628,0.77,0.74,4903,4.6,-0.07
HD 37605 c,,RV,2012,3.36552,,,3.81754,2720,0.013,HD 37605,8.67,,,43.9754,1,0.916831,5448,4.511,0.336
HATS-7 b,,Transit,2015,0.119447,87.92,0.57691,0.0401202,3.185315,0,HATS-7,13.34,,,257,0.849,0.815,4985,4.545,0.25
Qatar-4 b,,Transit,2017,6.07882,87.5,1.16517,0.028034,1.8053564,0,Qatar-4,13.6,,,332.171,0.896,0.849,5215,4.533,0.103
Kepler-1601 b,,Transit,2016,,,0.073,0.0336339,2.20921951,0,Kepler-1601,,,,660,1.04,1.07,5869,4.4,0.05
TYC 3667-1280-1 b,,RV,2016,5.40146,,,0.214338,26.468,0.036,TYC 3667-1280-1,9.86,,,481,1.87,6.26,5130,3.11,-0.08
Kepler-659 b,,Transit,2016,,,0.223,0.122745,17.671796,0,Kepler-659,,,,688,0.79,0.74,4870,4.6,0.02
Kepler-1332 b,,Transit,2016,,,0.122,0.100137,11.87456832,0,Kepler-1332,,,,515,0.95,0.9,5581,4.51,0
Kepler-81 b,KOI-877,Transit,2012,,,0.216,0.0554099,5.955,,Kepler-81,,,,,0.64,0.59,4500,4.7,-0.524
Kepler-814 b,,Transit,2016,,,0.189,0.068804,6.1469851,0,Kepler-814,,,,1327,1.15,1.22,6162,4.33,0.01
LHS 1140 b,,Transit,2017,0.0212289,89.912,0.131011,0.0874937,24.73712,0,LHS 1140,14.15,,,12.47,0.146,0.186,3131,,-0.24
Kepler-1168 b,,Transit,2016,,,0.223,0.272889,55.8226539,0,Kepler-1168,,,,911,0.87,0.82,5157,4.56,0.13
Kepler-955 b,,Transit,2016,,,0.279,0.112106,14.53244172,0,Kepler-955,,,,637,0.89,0.84,5350,4.54,0.02
GJ 273 c,,RV,2017,0.00374866,,,0.0364676,4.72335022,0.169278,GJ 273,9.872,,,3.80257,0.29,0.293,3382,,0.09
Kepler-1328 b,,Transit,2016,,,0.087,0.053514,4.52158888,0,Kepler-1328,,,,630,1,0.99,5780,4.44,0
HD 183263 b,,RV,2005,3.57445,,,1.49006,626.516,0.35672,HD 183263,7.86,,,55.0964,1.121,1.11717,5936.41,4.40343,0.301955
Kepler-663 b,,Transit,2016,,,0.232,0.0543959,4.99678284,0,Kepler-663,,,,1030,0.86,0.82,5264,4.55,0.03
Kepler-624 b,,Transit,2016,,,0.206,0.120607,14.58649607,0,Kepler-624,,,,731,1.1,1.18,6117,4.33,-0.06
Kepler-1526 b,,Transit,2016,,,0.217,0.0437251,3.908632,0,Kepler-1526,,,,576,0.73,0.69,4601,4.62,-0.01
Kepler-347 c,KOI-1992,Transit,2014,,,0.156125,0.177529,27.320871,,Kepler-347,,,,,,1.005,6088,4.472,
Kepler-699 b,,Transit,2016,,,1.259,0.167447,27.80756293,0,Kepler-699,,,,888,0.81,0.78,5330,4.58,-0.26
Kepler-32 c,KOI-952,Transit,2011,,,0.1784,0.0676835,8.7522,0,Kepler-32,,,,303,0.54,0.53,3793,4.64,-0.01
Kepler-23 b,KOI-168,Transit,2011,,,0.169356,0.0749015,7.10664,0,Kepler-23,,,,,1.11,1.52,5760,4,-0.09
WASP-23 b,2MASS J06443062-4245425,Transit,2011,0.871881,88.39,0.962,0.037022,2.9444256,0,WASP-23,12.68,,,,0.78,0.765,5150,4.4,
Kepler-594 b,,Transit,2016,,,0.194,0.1083,13.64618192,0,Kepler-594,,,,742,0.91,0.87,5485,4.52,-0.03
11 Com b,,RV,2008,16.1284,,,1.17872,326.03,0.231,11 Com,4.783,,,88.8889,2.04,12.0698,4830,2.61,-0.34
HD 145377 b,,RV,2009,5.78201,,,0.450064,103.95,0.307,HD 145377,8.12,,,55.0358,1.12,1.00052,6046,4.49,0.12
Kepler-1554 b,,Transit,2016,,,0.259,0.627489,198.088774,0,Kepler-1554,,,,982,0.84,0.81,5297,4.56,-0.1
Kepler-650 b,,Transit,2016,,,0.264,0.0420644,3.03214559,0,Kepler-650,,,,805,1.08,1.35,5849,4.21,0.13
Kepler-289 d,PH3 c,Transit,2010,,89.73,0.244,0.328137,66.0634,0.011,Kepler-289,,,,700,1.08,1.5121,5590,4.47,0.05
Kepler-1429 b,,Transit,2016,,,0.115,0.0540966,4.48487493,0,Kepler-1429,,,,1156,1.05,1.07,5902,4.4,0.04
Kepler-194 c,KOI-597,Transit,2014,,,0.231064,0.13095,17.308032,,Kepler-194,,,,,,1.025,6089,4.415,
CoRoT-25 b,2MASS 18423111+0630497,Transit,2013,0.26487,84.5,1.08,0.0577982,4.86069,0,CoRoT-25,15.02,,,1000,1.09,1.19,6040,4.28,-0.01
Kepler-419 c,,Transit Timing Variations,2010,,2.5,,1.68144,675.47,0.184,Kepler-419,,,,,1.39,1.75,6430,4.1,0.176
Kepler-332 b,KOI-1905,Transit,2014,,,0.10438,0.0758257,7.626324,,Kepler-332,,,,,,0.72,4955,4.611,
omicron CrB b,2MASS J15200853+2936584,RV,2012,1.47736,,,0.826048,187.83,0.191,omicron CrB,5.519,,,82.7815,2.13,10.5,4749,2.34,-0.29
Kepler-229 c,KOI-757,Transit,2014,,,0.438933,0.124621,16.068638,,Kepler-229,,,,,,0.728,5120,4.633,
HD 47366 c,,RV,2016,1.86351,,,1.85343,684.7,0.278,HD 47366,6.106,,,80,1.81,7.3,4866,2.97,-0.02
Kepler-954 b,,Transit,2016,,,0.207,0.12007,16.78176602,0,Kepler-954,,,,224,0.82,0.76,4990,4.59,0.02
Kepler-1408 b,,Transit,2016,,,0.079,0.0433594,2.99793191,0,Kepler-1408,,,,426,1.21,1.35,6170,4.25,0
Kepler-779 b,,Transit,2016,,,0.082,0.0557932,7.09714223,0,Kepler-779,,,,224,0.46,0.44,3804,4.81,-0.43
OGLE-TR-132 b,,Transit,2004,1.16945,83.4,1.2,0.0303507,1.689868,0,OGLE-TR-132,15.72,,,172.414,1.305,1.32,6210,4.313,0.37
